Year,Award Event,Video Game,Award Category,Developer/Studio
2025,DICE Awards,Astro Bot,Game of the Year,Team Asobi
2025,DICE Awards,Helldivers 2,Action Game of the Year,Arrowhead Game Studios
2025,DICE Awards,Indiana Jones and the Great Circle,Adventure Game of the Year,MachineGames
2025,DICE Awards,Balatro,Mobile Game of the Year,LocalThunk
2025,BAFTA Games Awards,Astro Bot,Best Game,Team Asobi
2025,BAFTA Games Awards,Helldivers 2,Multiplayer,Arrowhead Game Studios
2025,BAFTA Games Awards,Balatro,Debut Game,LocalThunk
2025,BAFTA Games Awards,Still Wakes the Deep,New Intellectual Property,The Chinese Room
2025,Golden Joystick Awards,Clair Obscur: Expedition 33,Ultimate Game of the Year,Sandfall Interactive
2025,Golden Joystick Awards,Clair Obscur: Expedition 33,Best Storytelling,Sandfall Interactive
